index,ProviderNumber,HospitalName,Address1,City,State,ZipCode,CountyName,PhoneNumber,HospitalType,HospitalOwner,EmergencyService,Condition,MeasureCode,Score,Sample,Stateavg
44,10164,coosa valley medical center,315 w hickory st,sylacauga,al,35150,talladega,2562495000,acute care hospitals,voluntary non-profit - other,no,heart attack,ami-5,100%,4 patients,al_ami-5
45,10019,helen keller memorial hospital,1300 south montgomery avenue,sheffield,al,35660,jefferson,2563864556,acute care hospitals,government - hospital district or authority,yes,pneumonia,pn-6,86%,139 patients,al_pn-6
46,10021,dale medical center,126 hospital ave,ozark,al,36360,dale,3347742601,acute care hospitals,government - hospital district or authority,yes,pneumonia,pn-2,85%,80 patients,al_pn-2
47,10021,dale medical center,126 hospital ave,ozark,al,36360,dale,3347742601,acute care hospitals,government - hospital district or authority,yes,surgical infection prevention,scip-vte-2,68%,50 patients,al_scip-vte-2
48,10022,cherokee medical center,400 northwood dr,centre,al,35960,cherokee,2569275531,acute care hospitals,voluntary non-profit - private,yes,pneumonia,pn-2,93%,44 patients,al_pn-2
49,10022,cherokee medical center,400 northwood dr,centre,al,35960,cherokee,2569275531,acute care hospitals,voluntary non-profit - private,yes,pneumonia,pn-6,93%,44 patients,al_pn-6
50,10024,jackson hospital & clinic inc,1725 pine street,montgomery,al,36106,montgomery,3342938000,acute care hospitals,voluntary non-profit - private,yes,pneumonia,pn-5c,88%,233 patients,al_pn-5c
51,10024,jackson hospital & clinic inc,1725 pine street,montgomery,al,36106,montgomery,3342938000,acute care hospitals,voluntary non-profit - private,yes,surgical infection prevention,scip-inf-1,78%,844 patients,al_scip-inf-1
52,10024,jackson hospital & clinic inc,1725 pine street,montgomery,al,36106,montgomery,3342938000,acute care hospitals,voluntary non-profit - private,yes,surgical infection prevention,scip-inf-4,72%,270 patients,al_scip-inf-4
53,10024,jackson hospital & clinic inc,1725 pine street,montgomery,al,36106,montgomery,3342938000,acute care hospitals,voluntary non-profit - private,yes,surgical infection prevention,scip-vte-1,92%,263 patients,al_scip-vte-1
54,10025,g h lanier memorial hospital,4800 48th st,valley,al,36854,chambers,3347561400,acute care hospitals,voluntary non-profit - other,yes,pneumonia,pn-3b,95%,43 patients,al_pn-3b
55,10025,g h lanier memorial hospital,4800 48th st,valley,al,36854,chambers,3347561400,acute care hospitals,voluntary non-profit - other,yes,pneumonia,pn-5c,82%,50 patients,al_pn-5c
56,10025,g h lanier memorial hospital,4800 48th st,valley,al,36854,chambers,3347561400,acute care hospitals,voluntary non-profit - other,yes,surgical infection prevention,scip-inf-6,96%,172 patients,al_scip-inf-6
57,10025,g h lanier memorial hospital,4800 48th st,valley,al,36854,chambers,3347561400,acute care hospitals,voluntary non-profit - other,yes,surgical infection prevention,scip-vte-2,82%,84 patients,al_scip-vte-2
58,10027,elba general hospital,987 drayton street,elba,al,36323,coffee,3348972257,acute care hospitals,voluntary non-profit - other,yes,surgical infection prevention,scip-card-2,empty,empty,al_scip-card-2
59,10029,east alabama medical center and snf,2000 pepperell parkway,opelika,al,36801,lee,3347493411,acute care hospitals,government - hospital district or authority,yes,surgical infection prevention,scip-vte-1,92%,473 patients,al_scip-vte-1
60,10032,wedowee hospital,209 north main street,wedowee,al,36278,randolph,2563572111,acute care hospitals,government - local,no,pneumonia,pn-4,67%,6 patients,al_pn-4
61,10018,callahan eye foundation hospital,1720 university blvd,birmingham,al,35233,jefferson,2053258100,acute care hospitals,voluntary non-profit - private,yes,surgical infection prevention,scip-inf-1,empty,empty,al_scip-inf-1
62,10018,callahan eye foundation hospital,1720 university blvd,birmingham,al,35233,jefferson,2053258100,acute care hospitals,voluntary non-profit - private,yes,surgical infection prevention,scip-inf-2,empty,empty,al_scip-inf-2
63,10018,callahan eye foundation hospital,1720 university blvd,birmingham,al,35233,jefferson,2053258100,acute care hospitals,voluntary non-profit - private,yes,surgical infection prevention,scip-inf-4,empty,empty,al_scip-inf-4
64,10018,callahan eye foundation hospital,1720 university blvd,birmingham,al,35233,jefferson,2053258100,acute care hospitals,voluntary non-profit - private,yes,surgical infection prevention,scip-inf-6,empty,empty,al_scip-inf-6
65,10018,callahan eye foundation hospital,1720 university blvd,birmingham,al,35233,jefferson,2053258100,acute care hospitals,voluntary non-profit - private,yes,surgical infection prevention,scip-vte-1,empty,empty,al_scip-vte-1
66,10019,helen keller memorial hospital,1300 south montgomery avenue,sheffield,al,35660,jefferson,2563864556,acute care hospitals,government - hospital district or authority,yes,heart attack,ami-1,97%,33 patients,al_ami-1
67,10019,helen keller memorial hospital,1300 south montgomery avenue,sheffield,al,35660,jefferson,2563864556,acute care hospitals,government - hospital district or authority,yes,heart attack,ami-2,92%,13 patients,al_ami-2
68,10019,helen keller memorial hospital,1300 south montgomery avenue,sheffield,al,35660,jefferson,2563864556,acute care hospitals,government - hospital district or authority,yes,heart attack,ami-4,100%,4 patients,al_ami-4
69,10019,helen keller memorial hospital,1300 south montgomery avenue,sheffield,al,35660,jefferson,2563864556,acute care hospitals,government - hospital district or authority,yes,heart attack,ami-5,86%,14 patients,al_ami-5
70,10019,helen keller memorial hospital,1300 south montgomery avenue,sheffield,al,35660,jefferson,2563864556,acute care hospitals,government - hospital district or authority,yes,heart attack,ami-8a,empty,0 patients,al_ami-8a
71,10019,helen keller memorial hospital,1300 south montgomery avenue,sheffield,al,35660,jefferson,2563864556,acute care hospitals,government - hospital district or authority,yes,heart failure,hf-1,80%,114 patients,al_hf-1
72,10019,helen keller memorial hospital,1300 south montgomery avenue,sheffield,al,35660,jefferson,2563864556,acute care hospitals,government - hospital district or authority,yes,heart failure,hf-4,100%,41 patients,al_hf-4
73,10001,southeast alabama medical center,1108 ross clark circle,dothan,al,36302,houston,3347938701,acute care hospitals,government - hospital district or authority,yes,heart attack,ami-1,98%,270 patients,al_ami-1
74,10001,southeast alabama medical center,1108 ross clark circle,dothan,al,36302,houston,3347938701,acute care hospitals,government - hospital district or authority,yes,heart attack,ami-2,99%,516 patients,al_ami-2
75,10001,southeast alabama medical center,1108 ross clark circle,dothan,al,36302,houston,3347938701,acute care hospitals,government - hospital district or authority,yes,heart attack,ami-5,99%,441 patients,al_ami-5
76,10001,southeast alabama medical center,1108 ross clark circle,dothan,al,36302,houston,3347938701,acute care hospitals,government - hospital district or authority,yes,heart attack,ami-8a,72%,40 patients,al_ami-8a
77,10001,southeast alabama medical center,1108 ross clark circle,dothan,al,36302,houston,3347938701,acute care hospitals,government - hospital district or authority,yes,heart failure,hf-3,91%,165 patients,al_hf-3
78,10001,southeast alabama medical center,1108 ross clark circle,dothan,al,36302,houston,3347938701,acute care hospitals,government - hospital district or authority,yes,heart failure,hf-4,100%,110 patients,al_hf-4
79,10001,southeast alabama medical center,1108 ross clark circle,dothan,al,36302,houston,3347938701,acute care hospitals,government - hospital district or authority,yes,pneumonia,pn-2,93%,191 patients,al_pn-2
80,10001,southeast alabama medical center,1108 ross clark circle,dothan,al,36302,houston,3347938701,acute care hospitals,government - hospital district or authority,yes,pneumonia,pn-4,99%,107 patients,al_pn-4
81,10001,southeast alabama medical center,1108 ross clark circle,dothan,al,36302,houston,3347938701,acute care hospitals,government - hospital district or authority,yes,pneumonia,pn-5c,92%,196 patients,al_pn-5c
82,10001,southeast alabama medical center,1108 ross clark circle,dothan,al,36302,houston,3347938701,acute care hospitals,government - hospital district or authority,yes,pneumonia,pn-6,80%,147 patients,al_pn-6
83,10001,southeast alabama medical center,1108 ross clark circle,dothan,al,36302,houston,3347938701,acute care hospitals,government - hospital district or authority,yes,pneumonia,pn-7,84%,160 patients,al_pn-7
84,10001,southeast alabama medical center,1108 ross clark circle,dothan,al,36302,houston,3347938701,acute care hospitals,government - hospital district or authority,yes,surgical infection prevention,scip-inf-1,94%,399 patients,al_scip-inf-1
85,10001,southeast alabama medical center,1108 ross clark circle,dothan,al,36302,houston,3347938701,acute care hospitals,government - hospital district or authority,yes,surgical infection prevention,scip-inf-2,98%,405 patients,al_scip-inf-2
86,10001,southeast alabama medical center,1108 ross clark circle,dothan,al,36302,houston,3347938701,acute care hospitals,government - hospital district or authority,yes,surgical infection prevention,scip-inf-4,96%,136 patients,al_scip-inf-4
87,10001,southeast alabama medical center,1108 ross clark circle,dothan,al,36302,houston,3347938701,acute care hospitals,government - hospital district or authority,yes,surgical infection prevention,scip-inf-6,90%,537 patients,al_scip-inf-6
88,10005,marshall medical center south,2505 u s highway 431 north,boaz,al,35957,marshall,2565938310,acute care hospitals,government - hospital district or authority,yes,heart attack,ami-4,empty,0 patients,al_ami-4
89,10005,marshall medical center south,2505 u s highway 431 north,boaz,al,35957,marshall,2565938310,acute care hospitals,government - hospital district or authority,yes,heart attack,ami-5,100%,5 patients,al_ami-5
90,10005,marshall medical center south,2505 u s highway 431 north,boaz,al,35957,marshall,2565938310,acute care hospitals,government - hospital district or authority,yes,heart attack,ami-7a,empty,0 patients,al_ami-7a
91,10005,marshall medical center south,2505 u s highway 431 north,boaz,al,35957,marshall,2565938310,acute care hospitals,government - hospital district or authority,yes,heart failure,hf-2,99%,160 patients,al_hf-2
92,10005,marshall medical center south,2505 u s highway 431 north,boaz,al,35957,marshall,2565938310,acute care hospitals,government - hospital district or authority,yes,heart failure,hf-3,90%,69 patients,al_hf-3
93,10005,marshall medical center south,2505 u s highway 431 north,boaz,al,35957,marshall,2565938310,acute care hospitals,government - hospital district or authority,yes,heart failure,hf-4,94%,34 patients,al_hf-4
94,10005,marshall medical center south,2505 u s highway 431 north,boaz,al,35957,marshall,2565938310,acute care hospitals,government - hospital district or authority,yes,pneumonia,pn-2,97%,172 patients,al_pn-2
95,10005,marshall medical center south,2505 u s highway 431 north,boaz,al,35957,marshall,2565938310,acute care hospitals,government - hospital district or authority,yes,pneumonia,pn-5c,96%,211 patients,al_pn-5c
96,10005,marshall medical center south,2505 u s highway 431 north,boaz,al,35957,marshall,2565938310,acute care hospitals,government - hospital district or authority,yes,pneumonia,pn-6,92%,175 patients,al_pn-6
97,10005,marshall medical center south,2505 u s highway 431 north,boaz,al,35957,marshall,2565938310,acute care hospitals,government - hospital district or authority,yes,surgical infection prevention,scip-card-2,36%,14 patients,al_scip-card-2
98,10005,marshall medical center south,2505 u s highway 431 north,boaz,al,35957,marshall,2565938310,acute care hospitals,government - hospital district or authority,yes,surgical infection prevention,scip-inf-1,96%,168 patients,al_scip-inf-1
99,10005,marshall medical center south,2505 u s highway 431 north,boaz,al,35957,marshall,2565938310,acute care hospitals,government - hospital district or authority,yes,surgical infection prevention,scip-inf-3,95%,158 patients,al_scip-inf-3
100,10005,marshall medical center south,2505 u s highway 431 north,boaz,al,35957,marshall,2565938310,acute care hospitals,government - hospital district or authority,yes,surgical infection prevention,scip-inf-6,100%,237 patients,al_scip-inf-6
