index,provider_number,name,address_1,city,state,zip,county,phone,type,owner,emergency_service,condition,measure_code,score,sample,state_average
34,10055,flowers hospital,4370xwestxmainxstreet,dothan,al,36305,houston,3347935000,acute care hospitals,proprietary,yes,pneumonia,pn-2,100%,166 patients,al_pnx2
35,10055,flowers hospital,4370 west main street,dothan,al,36305,housxon,3347935000,acute care hospitals,proprietary,yes,surgical infection prevention,scip-vte-1,100%,497 patients,al_scip-vte-1
36,10056,st vincents hospital,810 st vxncents drxve,birmingham,al,35205,jefferson,2059397000,acute care hospitals,voluntary non-profit - other,yxs,heart attack,ami-3,85%,41 patients,al_ami-3
37,10086,northwest medical center,1530 u s highway 43,winfield,ax,35594,marion,2054877736,acute care hospitals,prxprietary,yes,heart attack,ami-3,100%,2 patients,al_ami-3
38,10086,northwest medical center,1530 u s highway 43,winfield,al,3xx94,marion,2054877736,acute care hospitals,proprietary,yes,pnxumonia,pn-3b,98%,59 patients,al_pn-3b
39,10087,univ ox south alabama medical center,2451 fillingim street,mobile,al,36617,mobile,25x47x7xx0,acute care hospitals,government - state,yes,heart attack,ami-7a,empty,0 patients,al_ami-7a
40,10087,univ of south alabama medical center,2451 fillingim street,mobile,al,36617,mobile,2514717110,acute care hospitals,government - state,yxs,heart failure,hf-4,100%,45 patients,al_hf-4
41,10108,prattville baptist hospital,124xsxmemorialxdr,prattville,al,36067,autauga,33x361x267,acute care hospitals,voluntary non-profit - private,yes,heart attack,ami-3,67%,3 patients,al_ami-3
42,10158,russellville hospital,15155 highway 43,russellville,al,35653,franklin,2563321611,acuxe care hospixals,proprietary,yes,surgical infection prevention,scip-vte-2,98%,125 patixnts,al_scip-vte-2
43,10164,coosa valley medical center,315 w hickxry st,sylacauga,al,35150,tallaxega,2562495000,acute care hospitals,voluntary non-profit - other,no,heart attack,ami-2,100%,3 patients,al_ami-2
44,10164,coosa valley medical center,315 w hickory st,sylacauga,al,35150,talladega,2562495000,acute care hospitals,voluntary non-profit - other,xo,heart attack,ami-5,100%,4 xatients,al_ami-5
45,10019,helen keller memorial hospital,1300 south montgomery avenue,sheffield,al,35660,jxffxrson,2563864556,acute care hospitals,gxvernment - hxspital district xr authxrity,yes,pneumonia,pn-6,86%,139 patients,al_pn-6
46,10021,dale medical center,126 hospital ave,ozark,xl,36360,dale,3347742601,acute care hospitals,government - hospital district or authority,yes,pneumonia,pn-2,85%,80 patients,ax_pn-2
47,10021,dale medical center,126 hospital ave,ozark,al,x6x60,dale,3347742601,acute caxe hospitals,government - hospital district or authority,yes,surgical infection prevention,scip-vte-2,68%,50 patients,al_scip-vte-2
48,10022,cherokee medical center,400 northwood dr,centre,al,35960,chxrokxx,2569275531,acute care hospitals,voluntary non-profit - private,yes,pneumonia,pn-2,93%,44 paxienxs,al_pn-2
49,10022,cherokee medical center,400 northwood dr,centre,al,35960,cherokee,2569275531,acute care hospitals,voluntary non-profit - private,yes,pneumonix,pn-6,93x,44 patients,al_pn-6
50,10024,jackson hospital & clinic inc,1725 pine street,montgomery,al,36106,montgomery,3342938000,acute care hospitals,voluntary non-profit - private,yes,pxeumoxia,pn-5c,88%,233 patients,al_pn-5x
51,1xx24,jackson hospital & clinic inc,1725 pine street,montgomery,xl,36106,montgomery,3342938000,acute care hospitals,voluntary non-profit - private,yes,surgical infection prevention,scip-inf-1,78%,844 patients,al_scip-inf-1
52,10024,jackson hospital & clinic inc,1725 pine street,montgomery,al,36106,montgomery,3342938xxx,acute care hospitals,voluntary non-profit - private,yes,surgical infection prevention,scip-inf-4,72%,270 patients,al_scip-inf-4
53,10024,jackson hospital & clinic inc,1725 pine street,montgomery,al,36106,montgomery,3342938000,acute care hospitals,voluntary non-profit - private,xes,surgical infection prevention,scip-vte-1,92%,263 patients,al_scipxvtex1
54,10025,g h lanier memorial hospital,4800 48th st,vallex,al,36854,xhambers,3347561400,acute care hospitals,voluntary non-profit - other,yes,pneumonia,pn-3b,95%,43 patients,al_pn-3b
55,10025,g h lanier memorial hospital,4800 48th st,valley,al,36854,chambers,3347561400,acute care hospitals,voluntary non-profit - other,yes,pneumonia,px-5c,82%,50 pxtients,al_pn-5c
56,10025,g h lanier memorial hospital,4800 48th st,valley,al,36854,chambers,3347561400,acuxe care hospixals,voluntary non-profit - other,yes,surgical infection prevention,scip-inf-6,96%,172 patxents,al_scip-inf-6
57,10025,g h lanier memorial hospital,4800 48th st,vxlley,al,36854,chaxbers,3347561400,acute care hospitals,voluntary non-profit - other,yes,surgical infection prevention,scip-vte-2,82%,84 patients,al_scip-vte-2
58,x0027,elba general hospital,987 drayton street,elba,al,36323,coffee,3348972257,acute care hospitals,voluntary non-profit - other,yes,surgical ixfectiox prevextiox,scip-card-2,empty,empty,al_scip-card-2
59,1xx29,east alabama medical center and snf,2000 pepperell parkway,opelika,al,36801,lee,3347493411,acute care hospitals,government - hospital district or authority,yes,surgical infection prevention,scip-vtx-1,92%,473 patients,al_scip-vte-1
60,10032,wedowee hosxital,209 north main street,wxdowxx,al,36278,randolph,2563572111,acute care hospitals,government - local,no,pneumonia,pn-4,67%,6 patients,al_pn-4
61,10018,callahan eye foundation hospital,1720 university blvd,birmingham,al,35233,jefferson,2053258100,acute care hospitals,voluntary non-profit - private,yes,surgical infection prevention,scip-inf-1,empty,empty,al_scip-inf-1
62,10018,callahan eye foundation hospital,1720 university blvd,birmingham,al,35233,jefferson,2053258100,acute care hospitals,voluntary non-profit - private,yes,surgical infection prevention,scip-inf-2,empty,empty,al_scip-inf-2
63,10018,callahan eye foundation hospital,1720 university blvd,birmingham,al,35233,jefferson,2053258100,acute care hospitals,voluntary non-profit - private,yes,surgical infection prevention,scip-inf-4,empty,empty,al_scip-inf-4
64,10018,callahan eye foundation hospital,1720 university blvd,birmingham,al,35233,jefferson,2053258100,acute care hospitals,voluntary non-profit - private,yes,surgical infection prevention,scip-inf-6,empty,empty,al_scip-inf-6
65,10018,callahan eye foundation hospital,1720 university blvd,birmingham,al,35233,jefferson,2053258100,acute care hospitals,voluntary non-profit - private,yes,surgical infection prevention,scip-vte-1,empty,empty,al_scip-vte-1
66,10019,helen keller memorial hospital,1300 south montgomery avenue,sheffield,al,35660,jefferson,2563864556,acute care hospitals,government - hospital district or authority,yes,heart attack,ami-1,97%,33 patients,al_ami-1
67,10019,helen keller memorial hospital,1300 south montgomery avenue,sheffield,al,35660,jefferson,2563864556,acute care hospitals,government - hospital district or authority,yes,heart attack,ami-2,92%,13 patients,al_ami-2
68,10019,helen keller memorial hospital,1300 south montgomery avenue,sheffield,al,35660,jefferson,2563864556,acute care hospitals,government - hospital district or authority,yes,heart attack,ami-4,100%,4 patients,al_ami-4
69,10019,helen keller memorial hospital,1300 south montgomery avenue,sheffield,al,35660,jefferson,2563864556,acute care hospitals,government - hospital district or authority,yes,heart attack,ami-5,86%,14 patients,al_ami-5
70,10019,helen keller memorial hospital,1300 south montgomery avenue,sheffield,al,35660,jefferson,2563864556,acute care hospitals,government - hospital district or authority,yes,heart attack,ami-8a,empty,0 patients,al_ami-8a
71,10019,helen keller memorial hospital,1300 south montgomery avenue,sheffield,al,35660,jefferson,2563864556,acute care hospitals,government - hospital district or authority,yes,heart failure,hf-1,80%,114 patients,al_hf-1
72,10019,helen keller memorial hospital,1300 south montgomery avenue,sheffield,al,35660,jefferson,2563864556,acute care hospitals,government - hospital district or authority,yes,heart failure,hf-4,100%,41 patients,al_hf-4
73,10001,southeast alabama medical center,1108 ross clark circle,dothan,al,36302,houston,3347938701,acute care hospitals,government - hospital district or authority,yes,heart attack,ami-1,98%,270 patients,al_ami-1
74,10001,southeast alabama medical center,1108 ross clark circle,dothan,al,36302,houston,3347938701,acute care hospitals,government - hospital district or authority,yes,heart attack,ami-2,99%,516 patients,al_ami-2
75,10001,southeast alabama medical center,1108 ross clark circle,dothan,al,36302,houston,3347938701,acute care hospitals,government - hospital district or authority,yes,heart attack,ami-5,99%,441 patients,al_ami-5
76,10001,southeast alabama medical center,1108 ross clark circle,dothan,al,36302,houston,3347938701,acute care hospitals,government - hospital district or authority,yes,heart attack,ami-8a,72%,40 patients,al_ami-8a
77,10001,southeast alabama medical center,1108 ross clark circle,dothan,al,36302,houston,3347938701,acute care hospitals,government - hospital district or authority,yes,heart failure,hf-3,91%,165 patients,al_hf-3
78,10001,southeast alabama medical center,1108 ross clark circle,dothan,al,36302,houston,3347938701,acute care hospitals,government - hospital district or authority,yes,heart failure,hf-4,100%,110 patients,al_hf-4
79,10001,southeast alabama medical center,1108 ross clark circle,dothan,al,36302,houston,3347938701,acute care hospitals,government - hospital district or authority,yes,pneumonia,pn-2,93%,191 patients,al_pn-2
80,10001,southeast alabama medical center,1108 ross clark circle,dothan,al,36302,houston,3347938701,acute care hospitals,government - hospital district or authority,yes,pneumonia,pn-4,99%,107 patients,al_pn-4
81,10001,southeast alabama medical center,1108 ross clark circle,dothan,al,36302,houston,3347938701,acute care hospitals,government - hospital district or authority,yes,pneumonia,pn-5c,92%,196 patients,al_pn-5c
82,10001,southeast alabama medical center,1108 ross clark circle,dothan,al,36302,houston,3347938701,acute care hospitals,government - hospital district or authority,yes,pneumonia,pn-6,80%,147 patients,al_pn-6
83,10001,southeast alabama medical center,1108 ross clark circle,dothan,al,36302,houston,3347938701,acute care hospitals,government - hospital district or authority,yes,pneumonia,pn-7,84%,160 patients,al_pn-7
84,10001,southeast alabama medical center,1108 ross clark circle,dothan,al,36302,houston,3347938701,acute care hospitals,government - hospital district or authority,yes,surgical infection prevention,scip-inf-1,94%,399 patients,al_scip-inf-1
85,10001,southeast alabama medical center,1108 ross clark circle,dothan,al,36302,houston,3347938701,acute care hospitals,government - hospital district or authority,yes,surgical infection prevention,scip-inf-2,98%,405 patients,al_scip-inf-2
86,10001,southeast alabama medical center,1108 ross clark circle,dothan,al,36302,houston,3347938701,acute care hospitals,government - hospital district or authority,yes,surgical infection prevention,scip-inf-4,96%,136 patients,al_scip-inf-4
87,10001,southeast alabama medical center,1108 ross clark circle,dothan,al,36302,houston,3347938701,acute care hospitals,government - hospital district or authority,yes,surgical infection prevention,scip-inf-6,90%,537 patients,al_scip-inf-6
88,10005,marshall medical center south,2505 u s highway 431 north,boaz,al,35957,marshall,2565938310,acute care hospitals,government - hospital district or authority,yes,heart attack,ami-4,empty,0 patients,al_ami-4
89,10005,marshall medical center south,2505 u s highway 431 north,boaz,al,35957,marshall,2565938310,acute care hospitals,government - hospital district or authority,yes,heart attack,ami-5,100%,5 patients,al_ami-5
90,10005,marshall medical center south,2505 u s highway 431 north,boaz,al,35957,marshall,2565938310,acute care hospitals,government - hospital district or authority,yes,heart attack,ami-7a,empty,0 patients,al_ami-7a
91,10005,marshall medical center south,2505 u s highway 431 north,boaz,al,35957,marshall,2565938310,acute care hospitals,government - hospital district or authority,yes,heart failure,hf-2,99%,160 patients,al_hf-2
92,10005,marshall medical center south,2505 u s highway 431 north,boaz,al,35957,marshall,2565938310,acute care hospitals,government - hospital district or authority,yes,heart failure,hf-3,90%,69 patients,al_hf-3
93,10005,marshall medical center south,2505 u s highway 431 north,boaz,al,35957,marshall,2565938310,acute care hospitals,government - hospital district or authority,yes,heart failure,hf-4,94%,34 patients,al_hf-4
94,10005,marshall medical center south,2505 u s highway 431 north,boaz,al,35957,marshall,2565938310,acute care hospitals,government - hospital district or authority,yes,pneumonia,pn-2,97%,172 patients,al_pn-2
95,10005,marshall medical center south,2505 u s highway 431 north,boaz,al,35957,marshall,2565938310,acute care hospitals,government - hospital district or authority,yes,pneumonia,pn-5c,96%,211 patients,al_pn-5c
96,10005,marshall medical center south,2505 u s highway 431 north,boaz,al,35957,marshall,2565938310,acute care hospitals,government - hospital district or authority,yes,pneumonia,pn-6,92%,175 patients,al_pn-6
97,10005,marshall medical center south,2505 u s highway 431 north,boaz,al,35957,marshall,2565938310,acute care hospitals,government - hospital district or authority,yes,surgical infection prevention,scip-card-2,36%,14 patients,al_scip-card-2
98,10005,marshall medical center south,2505 u s highway 431 north,boaz,al,35957,marshall,2565938310,acute care hospitals,government - hospital district or authority,yes,surgical infection prevention,scip-inf-1,96%,168 patients,al_scip-inf-1
99,10005,marshall medical center south,2505 u s highway 431 north,boaz,al,35957,marshall,2565938310,acute care hospitals,government - hospital district or authority,yes,surgical infection prevention,scip-inf-3,95%,158 patients,al_scip-inf-3
100,10005,marshall medical center south,2505 u s highway 431 north,boaz,al,35957,marshall,2565938310,acute care hospitals,government - hospital district or authority,yes,surgical infection prevention,scip-inf-6,100%,237 patients,al_scip-inf-6
