index,id,beer-name,style,ounces,abv,ibu,brewery_id,brewery-name,city,state
38,1845,Green Monsta IPA,American IPA,12.0,0.06,55.0,295,Wachusett Brewing Company,Westminster,MA
39,2253,Blonde Hunny,Belgian Pale Ale,12.0,0.068,21.0,181,Wild Wolf Brewing Company,Nellysford,VA
40,2417,4000 Footer IPA,American IPA,12.0,0.065,82.0,109,"Woodstock Inn, Station & Brewery",North Woodstock,NH
41,1095,Orange Grove Wheat Ale,American Pale Wheat Ale,12.0,,,467,Brindle Dog Brewing Company,Tampa Bay,FL
42,731,Kaleidoscope Collaboration 2012,American Black Ale,16.0,,,491,Devil's Canyon Brewery,Belmont,CA
43,2322,Fort Pitt Ale,American Amber / Red Ale,12.0,,,151,Fort Pitt Brewing Company,Latrobe,PA
44,1750,Birth IPA,American IPA,12.0,,,166,Oskar Blues Brewery,Longmont,CO
45,710,Rye Porter,American Porter,16.0,,,386,Revolution Brewing,Paonia,CO
46,1948,30 Min Coma,Belgian IPA,16.0,,,25,Sun King Brewing Company,Indianapolis,IN
47,121,Cornstalker Dark Wheat,American Dark Wheat Ale,12.0,,,282,Thunderhead Brewing Company,Kearney,NE
48,1592,He Said Belgian-Style Tripel,Tripel,12.0,0.082,,368,21st Amendment Brewery,San Francisco,CA
49,2286,Divided Sky,American IPA,12.0,0.065,,60,4 Hands Brewing Company,Saint Louis,MO
50,2501,Hopalicious,American Pale Ale (APA),12.0,0.057,,73,Ale Asylum,Madison,WI
51,798,Brush Creek Blonde,American Blonde Ale,16.0,0.048,,107,Bonfire Brewing Company,Eagle,CO
52,2241,Viking Ice Hole,Oatmeal Stout,16.0,0.063,,10,Brewery Vivant,Grand Rapids,MI
53,66,Brooklyn Lager (16 oz.),American Amber / Red Lager,16.0,0.052,,437,Brooklyn Brewery,Brooklyn,NY
54,29,Very Noddy Lager (Current),Schwarzbier,16.0,0.099,,530,Buckbean Brewing Company,Reno,NV
55,2257,Remain in Light,American Pilsner,12.0,0.05,,178,Cambridge Brewing Company,Cambridge,MA
56,784,Carolina Lighthouse (2007),American Blonde Ale,12.0,0.04,,504,Carolina Beer & Beverage,Mooresville,NC
57,1218,All American Red Ale,American Amber / Red Ale,12.0,0.05,,452,Centennial Beer Company,Edwards,CO
58,1336,Core ESB,Extra Special / Strong Bitter (ESB),12.0,0.061,,139,Core Brewing & Distilling Company,Springdale,AR
59,962,Mac's Highlander Pale Ale (2000),American Pale Ale (APA),12.0,0.05,,485,MacTarnahans Brewing Company,Portland,OR
60,1234,The Imperial Texan,American Double / Imperial IPA,12.0,0.08,,161,Martin House Brewing Company,Fort Worth,TX
61,957,Saranac Traditional Lager (2000),American Pale Lager,12.0,0.048,,299,Matt Brewing Company,Utica,NY
62,2534,Disco Superfly,American IPA,24.0,0.08,,65,Mikerphone Brewing,Chicago,IL
63,2279,Mountain Crest,American Pale Lager,16.0,0.055,,134,Minhas Craft Brewery,Monroe,WI
64,2442,Cortez Gold,Belgian Pale Ale,32.0,0.05,,98,Mission Brewery,San Diego,CA
65,1807,Maine Island Trail Ale,American Pale Ale (APA),16.0,0.043,,42,Rising Tide Brewing Company,Portland,ME
66,1880,All Aboard! Anniversary Stout,Oatmeal Stout,12.0,0.071,,43,Rivertowne Brewing Company,Export,PA
67,2074,Pine Knob Pilsner,Czech Pilsener,16.0,0.053,,229,Rochester Mills Brewing Company,Rochester,MI
68,2053,Fear of a Brett Planet,American Pale Ale (APA),12.0,0.051,,164,Round Guys Brewing,Lansdale,PA
69,1447,Hopnoxious Imperial IPA,American Double / Imperial IPA,12.0,0.079,,309,Sockeye Brewing Company,Boise,ID
70,2267,Walloon,Saison / Farmhouse Ale,12.0,0.055,,118,Southern Star Brewing Company,Conroe,TX
71,1634,Alley Time,American Pale Ale (APA),12.0,0.06,,175,Spiteful Brewing Company,Chicago,IL
72,1344,Classique,Saison / Farmhouse Ale,12.0,0.045,,255,Stillwater Artisanal Ales,Baltimore,MD
73,2409,Doomtree,Extra Special / Strong Bitter (ESB),16.0,0.057,,61,Surly Brewing Company,Brooklyn Center,MN
74,1810,Focal Banger,American IPA,16.0,0.07,,272,The Alchemist,Waterbury,VT
75,25,Siamese twin,Dubbel,16.0,0.085,,522,Uncommon Brewers,Santa Cruz,CA
76,345,Upslope Brown Ale,English Brown Ale,12.0,0.067,,51,Upslope Brewing Company,Boulder,CO
77,813,Ambitious Lager,Munich Helles Lager,16.0,0.05,,499,Wildwood Brewing Company,Stevensville,MT
78,2263,Sinister,American Double / Imperial IPA,12.0,0.09,,177,18th Street Brewery,Gary,IN
79,2260,Lake Street Express,American Pale Ale (APA),12.0,0.045,,177,18th Street Brewery,Gary,IN
80,2097,Garce Selé,Saison / Farmhouse Ale,12.0,0.069,,177,18th Street Brewery,Gary,IN
81,2324,Cast Iron Oatmeal Brown,American Brown Ale,12.0,0.055,,60,4 Hands Brewing Company,Saint Louis,MO
82,2287,Alter Ego,American Black Ale,12.0,0.055,,60,4 Hands Brewing Company,Saint Louis,MO
83,2676,Kamen Knuddeln,American Wild Ale,16.0,0.065,,1,Against the Grain Brewery,Louisville,KY
84,2592,Liberty Ale,American IPA,12.0,0.059,,35,Anchor Brewing Company,San Francisco,CA
85,2578,IPA,American IPA,12.0,0.065,,35,Anchor Brewing Company,San Francisco,CA
86,2577,Summer Wheat,American Pale Wheat Ale,12.0,0.045,,35,Anchor Brewing Company,San Francisco,CA
87,2102,Brotherhood Steam,California Common / Steam Beer,12.0,0.056,,35,Anchor Brewing Company,San Francisco,CA
88,1738,"the Kimmie, the Yink and the Holy Gose",Gose,12.0,0.048,,171,Anderson Valley Brewing Company,Boonville,CA
89,410,River Pig Pale Ale,American Pale Ale (APA),16.0,0.054,,542,Angry Minnow Brewing Company,Hayward,WI
90,1293,Angry Orchard Crisp Apple,Cider,16.0,0.05,,434,Angry Orchard Cider Company,Cincinnati,OH
91,2039,Uroboros,American Stout,12.0,0.085,,193,Anthem Brewing Company,Oklahoma City,OK
92,1333,Quakertown Stout,American Double / Imperial Stout,12.0,0.092,50.0,426,Armadillo Ale Works,Denton,TX
93,429,Ninja Porter,American Porter,12.0,0.053,26.0,528,Asheville Brewing Company,Asheville,NC
94,527,Atwater's Lager,Munich Helles Lager,12.0,0.05,12.0,72,Atwater Brewery,Detroit,MI
95,343,Fire Eagle IPA,American IPA,12.0,0.062,,413,Austin Beerworks,Austin,TX
96,2589,Raja,American Double / Imperial IPA,12.0,0.08,,37,Avery Brewing Company,Boulder,CO
97,1426,Back East Golden Ale,American Blonde Ale,12.0,0.049,,235,Back East Brewing Company,Bloomfield,CT
98,1876,Truck Stop Honey Brown Ale,English Brown Ale,12.0,0.06,,286,Back Forty Beer Company,Gadsden,AL
99,2593,Grapefruit Sculpin,American IPA,12.0,0.07,,34,Ballast Point Brewing Company,San Diego,CA
100,2494,Oberon,American Pale Wheat Ale,12.0,0.058,,76,Bell's Brewery,Kalamazoo,MI
